City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,ketchikan,55.3422,-131.6461,8.26,61,0,6.17,US,1711549733
345,urengoy,65.9667,78.3667,-25.97,100,32,1.85,RU,1711498765
346,novyy urgal,51.0736,132.5642,-9.24,96,92,1.43,RU,1711572866
347,san antonio de pale,-1.4014,5.6325,29.56,71,98,2.29,GQ,1711517975
348,buzdyak,54.5833,54.55,0.45,98,100,3.99,RU,1711505160
349,summerland,49.5998,-119.6691,7.27,61,100,6.17,CA,1711547097
350,opuwo,-18.0607,13.84,19.22,90,99,4.88,,1711516194
351,richards bay,-28.783,32.0377,21.48,86,2,1.39,ZA,1711511955
352,port alberni,49.2413,-124.8028,7.91,95,100,1.34,CA,1711548340
353,port macquarie,-31.4333,152.9167,17.16,99,8,0.74,AU,1711569404
354,hacilar,38.6463,35.4494,7.83,76,75,1.03,TR,1711510223
355,san roque,36.2107,-5.3842,16.46,72,75,11.32,ES,1711520066
356,saldanha,-33.0117,17.9442,17.01,86,14,7.66,ZA,1711515395
357,yangquan,37.8575,113.5633,9.05,22,38,4.45,CN,1711577821
358,puerto baquerizo moreno,-0.9,-89.6,30.55,70,40,4.63,EC,1711540820
359,bang saphan,11.2126,99.5117,24.59,93,7,0.95,TH,1711581664
360,cannonvale,-20.2833,148.7,26.66,87,79,4.24,AU,1711570264
